arrival_time_s,packet_size_bytes,backlog_bytes,departure_time_s,waiting_time_s,dropped,cum_drops
1.056716459,98,22474,1.242988042,0.186271583,0,0
1.057084209,35,22572,1.243268042,0.186183833,0,0
1.057087209,35,22607,1.243548042,0.186460833,0,0
1.057433917,16,22642,1.243676042,0.186242125,0,0
1.057436584,16,22658,1.243804042,0.186367458,0,0
1.057784917,148,22674,1.244988042,0.187203125,0,0
1.057826834,148,22822,1.246172042,0.188345208,0,0
1.057829334,57,22970,1.246628042,0.188798708,0,0
1.057831375,57,23027,1.247084042,0.189252667,0,0
1.058120625,102,23084,1.247900042,0.189779417,0,0
1.0581235,102,23186,1.248716042,0.190592542,0,0
1.058280292,2,23288,1.248732042,0.19045175,0,0
1.058285084,2,23290,1.248753834,0.19046875,0,0
1.058287084,111,23292,1.249673042,0.191385958,0,0
1.058289084,111,23403,1.250561042,0.192271958,0,0
1.05881675,35,23494,1.250841042,0.192024292,0,0
1.058819709,35,23529,1.251121042,0.192301333,0,0
1.05946925,279,23564,1.253353042,0.193883792,0,0
1.059472,279,23843,1.255585042,0.196113042,0,0
1.060369042,3,24122,1.255609042,0.19524,0,0
1.060371834,3,24125,1.25616925,0.195797416,0,0
1.061511709,120,23973,1.25712925,0.195617541,0,0
1.061516042,120,24093,1.25808925,0.196573208,0,0
1.061519167,124,24213,1.25908125,0.197562083,0,0
1.061551042,124,24337,1.26007325,0.198522208,0,0
1.061555459,333,24326,1.26273725,0.201181791,0,0
1.061559042,333,24659,1.26540125,0.203842208,0,0
1.061605834,40,24992,1.26572125,0.204115416,0,0
1.061608375,40,25032,1.266358959,0.204750584,0,0
1.061671125,94,25072,1.267110959,0.205439834,0,0
1.061673625,94,25166,1.267862959,0.206189334,0,0
1.061797167,313,25260,1.270366959,0.208569792,0,0
1.061799667,313,25573,1.272870959,0.211071292,0,0
1.062008709,31,25886,1.273118959,0.21111025,0,0
1.062011209,31,25917,1.27364775,0.211636541,0,0
1.062146167,402,25948,1.27686375,0.214717583,0,0
1.062162709,402,26350,1.28007975,0.217917041,0,0
